,,Function,Current AM62 balls,Current signal names,Current groups,Requested changes
P1,1,SYS_VIN,,,,
P1,2,ADC_6/GPIO,"E18, AA19","AIN6, GPIO1_10, GPIO0_87","MCASP0, RGMII2",
P1,3,USB1_DRVVBUS,F18,USB1_DRVVBUS,GENERAL,
P1,4,GPIO,"D20, Y18","GPIO1_12, GPIO0_89","MCASP0, RGMII2",
P1,5,USB1_VBUS,AB10,USB1_VBUS,USB1,
P1,6,SPIa_CS,"E19, AD18","SPI2_CS0, GPIO0_78","MCASP0, RGMII1",
P1,7,USB_VIN,,,,
P1,8,SPIa_CLK,A20,SPI2_CLK,MCASP0,
P1,9,USB1_DN,AD10,USB1_DM,USB1,
P1,10,SPIa_SDI,B19,SPI2_D0,MCASP0,Add A18
P1,11,USB1_DP,AE9,USB1_DP,USB1,
P1,12,SPIa_SDO,"A19, AE18","SPI2_D1, GPIO0_77","MCASP0, RGMII1",
P1,13,USB1_ID,N20,GPIO0_36,GPMC,
P1,14,VOUT_3V3,,,,
P1,15,GND,,,,
P1,16,GND,,,,
P1,17,ADC_GND,,,,
P1,18,ADC_VREF,,,,
P1,19,ADC_0,AD22,"AIN0, GPIO1_1",RGMII2,
P1,20,GPIO,Y24,GPIO0_50,VOUT0,
P1,21,ADC_1,AE22,"AIN1, GPIO1_6",RGMII2,
P1,22,GND,,,,
P1,23,ADC_2,AC21,"AIN2, GPIO1_5",RGMII2,
P1,24,SYS_VOUT,,,,
P1,25,ADC_3,AB20,"AIN3, GPIO1_4",RGMII2,
P1,26,I2Cb_SDA,"D6, K24","MCU_GPIO0_13, I2C2_SDA","MCU GENERAL, GPMC",
P1,27,ADC_4,AE23,"AIN4, GPIO1_3",RGMII2,
P1,28,I2Cb_SCL,"B3, K22","MCU_GPIO0_14, I2C2_SCL","MCU GENERAL, GPMC",
P1,29,PRU0_7,Y20,GPIO0_62,VOUT0,
P1,30,UARTb_TX,E14,UART0_TXD,GENERAL,
P1,31,PRU0_4,Y22,GPIO0_59,VOUT0,
P1,32,UARTb_RX,D14,UART0_RXD,GENERAL,
P1,33,PRU0_1,"AA23, A17","GPIO0_56, I2C1_SDA","VOUT0, GENERAL",
P1,34,GPIO,AD23,GPIO1_2,RGMII2,
P1,35,PRU1_10,AE21,GPIO0_88,RGMII2,
P1,36,PWMb_A,"V20, B17","GPIO0_55, I2C1_SCL","VOUT0, GENERAL",
P2,1,PWMa_A,B20,GPIO1_11,MCASP0,Add AD24
P2,2,GPIO,U22,GPIO0_45,VOUT0,
P2,3,GPIO,B18,GPIO1_9,MCASP0,Add AB22
P2,4,GPIO,V24,GPIO0_46,VOUT0,
P2,5,UARTa_RX,C15,UART5_RXD,GENERAL,Add B5
P2,6,GPIO,W25,GPIO0_47,VOUT0,
P2,7,UARTa_TX,E15,UART5_TXD,GENERAL,Add A5
P2,8,GPIO,W24,GPIO0_48,VOUT0,
P2,9,I2Ca_SCL,"D4, A15","MCU_GPIO0_16, I2C3_SCL","MCU GENERAL, GENERAL",
P2,10,GPIO,AD21,GPIO0_91,RGMII2,
P2,11,I2Ca_SDA,"E5, B15","MCU_GPIO0_15, I2C3_SDA","MCU GENERAL, GENERAL",
P2,12,POWER_BTN,,,,
P2,13,SYS_VOUT,,,,
P2,14,BAT_VIN,,,,
P2,15,GND,,,,
P2,16,BAT_TEMP,,,,
P2,17,GPIO,AC24,GPIO0_64,VOUT0,
P2,18,GPIO,V21,GPIO0_53,VOUT0,
P2,19,GPIO,AA23,GPIO0_56,VOUT0,Duplicate with P1.33. Replace with AC20 to complete RGMII2
P2,20,GPIO,Y25,GPIO0_49,VOUT0,
P2,21,GND,,,,
P2,22,GPIO,AC25,GPIO0_63,VOUT0,
P2,23,VOUT_3V3,,,,
P2,24,GPIO,Y23,GPIO0_51,VOUT0,
P2,25,SPIb_SDO,B14,SPI0_D1,GENERAL,
P2,26,RESET#,D2,,OSC0,
P2,27,SPIb_SDI,B13,SPI0_D0,GENERAL,
P2,28,PRU0_6,AB24,GPIO0_61,VOUT0,
P2,29,SPIb_CLK,"M22, A14","GPIO0_40, SPI0_CLK","GPMC, GENERAL",
P2,30,PRU0_3,AA24,GPIO0_58,VOUT0,
P2,31,SPIb_CS,"AA18, A13","GPIO0_90, SPI0_CS0","RGMII2, GENERAL",
P2,32,PRU0_2,AB25,GPIO0_57,VOUT0,
P2,33,GPIO,AA25,GPIO0_52,VOUT0,
P2,34,PRU0_5,AA21,GPIO0_60,VOUT0,
P2,35,ADC_5,W21,"AIN5, GPIO0_54",VOUT0,
P2,36,ADC_7/GPIO,C13,"AIN7, SPI0_CS1",GENERAL,